Source,Category,Date,Author,Title,Tags,Subtitle,Content,
businessStandards,['Companies'],1/31/2018 11:25,['Sohini Das'],"[""How Suzuki's Hansalpur plant became Gujarat's top car manufacturing unit""]","['Maruti Suzuki', 'Suzuki', 'Hansalpur', 'Baleno', 'Swift', 'Maruti', 'Companies', 'News']",['Overtakes Sanand unit of Ford and Tata Motors in volume'],"[""Suzuki?sHansalpurplant in Gujarat has emerged as the state?s largest manufacturer of cars in less than two years of it commencing operations. It has consequently also overtaken the Sanand unit of Ford and Tata Motors in volume.TheHansalpurunit became operational in early 2016 with the production of Baleno, a bestseller fromMaruti.The plant is now getting ready to manufacture the newSwifthatchback. Suzuki, which owns Maruti, has an arrangement with the subsidiary to sell cars from the Gujarat unit at a cost price.TheHansalpurunit is projected to produce 250,000 vehicles during 2018-19, averaging over 20,000 vehicles per month. The newSwiftwould be exclusively produced at theHansalpursite.As India's largest passenger vehicle makerMarutiSuzukiIndia Ltd (MSIL) is all set to roll out the newSwifthatchback from the Gujarat plant. The company'sHansalpurfacility has also emerged as the highest vehicle producing facility in Gujarat.A few thousand vehicles were rolled out fromHansalpurin 2015-16 fiscal, which grew to 150,000 units in 2016-17. The company produced 16,371 units of theBalenoatHansalpurin December 2017 and has also started production of the newSwiftprior to its launch in the upcoming Auto Expo next month. In comparison, Tata Motors and Ford India have produced 6,766 units and 12,544 units at their respective plants in December.AMarutispokesperson said itsHansalpurplant started a second shift since October 2017 to ease the waiting period for its popular modelsBalenohatchback and the Vitara Brezza."", ""Both vehicles had long wait periods over 18 weeks or so and while the Manesar plant was making Balenos apart fromHansalpurplant, the Brezza was getting made at Gurgaon. Starting the second shift atHansalpureased out pressure from the company's National Capital Region facilities.""]",/article/companies/how-suzuki-s-hansalpur-plant-became-gujarat-s-top-car-manufacturing-unit-118013100262_1.html
businessStandards,['Companies'],1/31/2018 11:03,['Hannah Elliott | Bloomberg'],['Harley-Davidson is making an electric motorcycle and it may launch in 2019'],"['Harley Davidson', 'Electric Bike', 'Electric Vehicle', 'Harley-davidson Inc', 'Clean Energy', 'Ducati Monster', 'Electric Motorcycle', 'Companies', 'News']",['Harley-Davidson Chief Financial Officer John Olin said the company will spend $25 million to $50 million per year over the next several years on electric motorcycle technology'],"[""On Tuesday, during a routine earnings call,Harley-Davidson Incannounced it will produce an all-electric motorcycle.The announcement accompaniednewsof additional job cuts and a plant closure at the Milwaukee-based company. It also came four years after Harley unveiled its ?LiveWire? project, a prototype all-electric motorcycle.?You?ve heard us talk about Project LiveWire,? Matt Levatich, the president and chief executive officer of Harley-Davidson, told listeners during the call on Tuesday. ?It?s an active project we?re preparing to bring to market within 18 months.''If it is anything like its precursor, the new motorcycle, which was not named, will carry a roughly 50-mile range and be able to go from 0 to 60 miles per hour in 4 seconds. By comparison, Zero?s SR hits 60mph in 3.3 seconds, and the Mission R racer has a top speed of more than 150mph, with a sub-3-second sprint time. A standardDucati Monster1200 motorcycle can hit 60mph in just under 3 seconds.The decision comes at a time when theelectric motorcyclemarket is small but growing: In a 2016 report, market research firm TechNavio projected 45 percent growth in theelectric motorcycleindustry by 2020. This stands in stark contrast to the deepening slump in US motorcycle demand, with industry retail sales down 6.5 percent in the fourth quarter of 2017; Harley sales fell 11 percent in the fourth quarter and 8.5 percent for the year, according to numbers released on the call.Harley-Davidson Chief Financial Officer John Olin said the company will spend $25 million to $50 million per year over the next several years onelectric motorcycletechnology. The goal is to be the world leader in theelectric motorcyclemarket.?Our brand stands for freedom and independence and personal freedom, and we think the brand is fundamentally sound,? he said during the call.Meanwhile, Bayerische Motoren Werke AG currently sells an electrified $23,000 C Evolution e-Scooter in Europe and has shown a futuristicelectric motorcycleconcept (that won?t require a helmet), while upstartelectric motorcyclecompaniessuch as Zero Motorcycles Inc and Brammo Inc. maintain brisk businesses of their own.The irony in the Harley announcement is that it comes from a company that built its image on the loud, outlaw-style rumble of its engine and the decidedly un-eco-friendly look of its choppers and road cruisers."", 'Where the 32,000 new Harley-Davidson buyers in the US last year probably bought their first hog in large part for its patented loud sound, the electric Harley will undoubtedly be quiet(er).']",/article/companies/harley-davidson-is-making-an-electric-motorcycle-and-it-may-launch-in-2019-118013100249_1.html
businessStandards,['Companies'],1/31/2018 10:26,['Cathrine Jansson-Boyd | The Conversation'],"[""The Ikea effect: How Ingvar Kamprad's company changed the way we shop""]","['Ikea', 'Ikea India', 'Ingvar Kamprad', 'Ikea Ingvar Kamprad', 'Ingvar Kamprad Ikea', 'Ikea News', 'Companies', 'News']",['Ikea first brought out its now signature style of flat-pack furniture in the 1950s'],"['Ingvar Kamprad, who startedIkeaas a teenager, has died at the age of 91. He started with stationery and stockings, but went on to build one of the world?s biggest furniturecompanies.And the way he did it has revolutionised how retailers operate.', 'There are two facets of modern life that we haveIkeato thank for: flat-pack furniture and ashop layoutthat gets you buying more of its products than you initially intended to. Both are principles that a number of othercompanieshave put to good use.', 'Ikeafirst brought out its now signature style of flat-pack furniture in the 1950s. Whether you love or loathe this concept, it was astroke of geniusand a effective way of making the masses value the brand. There are theobvious aspectsof cost efficiency and the practicality of shipping. But flat-pack furniture also has an important subconscious influence on consumers.', 'WhenIkeamade the switch away from selling furniture that was already assembled, it was most likely unaware of how it would influence its consumers. Yet scientists have since managed to pinpoint why consumers simply can?t get enough of building their own furniture. The simple act of touching products (and what better way to ensure touch based interaction than through assembling a piece of furniture) can increase youroverall perceived valueof the product. Couple this with the fact that the more effort a consumer has to put into building something the more they like it ? you have an undoubtedly winning formula.', 'Tests have shownthat the actual act of putting something together (even though there may be sweat, swearing and tears involved) so that it becomes a complete object generates a much more favourable perception of that object than it would purchasing it in a completed form. The phenomenon is known asthe Ikea effect.', 'This effect is further enhanced by the fact that touch itself isneurologically coupled with emotion.', 'This means that when we touch something the emotive part of our brain is activated so that we experience a close connection with the product. Touch creates feelings of ownership and increases the perceived value we have of items. Thus the happy assembler of the flat pack will, once finished, feel proud of their achievement and experiencing feelings of being closely connected to the item.', 'Round and round in circles', 'The layout of theIkeastores has also paved the way for a more creative way of thinking about how to guide shoppers. If you have ever visited one of its huge warehouse stores, you may have gone in thinking you were only buying a few items, to find yourself coming out of the store with a trolley full of things. This is because of its circular design and one way system.', 'This design means you often can?t see what is coming next and fear you?ll miss something you need if you don?t continue all the way along the path. There are potential escape points throughout the store, but that would mean that you will miss several of the sections and rarely consumers are prepared to take that risk.', 'Because you know it may be tricky to revisit a particular item later on, you are inclined to pick it up when you see it and put it in your big trolley. This ensures that the customer touches the product, which in turn againgenerates a psychological sense of ownership over itand decreases the likelihood that it will be put down en route to the tills.', 'The fact that you can?t see around the next corner also creates a subconscious sense of mystery,which draws the customer gradually further into the store. Environments perceived to be mysterious usually generate an overall stronger liking and so encourage shoppers to keep walking through the store. And the more you do this, the more likely you are to buy something ? especially all the smaller items on display such as candles, napkins and picture frames as they seem cheap compared to the larger more expensive items.', 'Ikea?s creative ability to tap into the unconsciousness of consumers is undoubtedly a big part of its success ? and also why it?s beencopiedby many othercompanies.Even thoughIngvar Kampradis no longer with us,Ikeahas inherited from him an ethos of thinking outside of the box to communicate with consumers. It will be interesting to see what follows next.', 'Cathrine Jansson-Boyd, Reader in Consumer Psychology,Anglia Ruskin University', 'This article was originally published onThe Conversation. Read theoriginal article.']",/article/companies/the-ikea-effect-how-ingvar-kamprad-s-company-changed-the-way-we-shop-118013100201_1.html
businessStandards,['Companies'],1/31/2018 10:13,['Kiran Rathee'],['Little-known Detel is connecting the masses with the Rs 299 phone'],"['Feature Phones', 'Detel', 'Freedom 251', 'Telecom Wars', 'Phone Disruption', '4g', '4g Feature Phones', 'Feature Phones In India', 'Companies', 'News']","['The company has launched an upgraded version of its bestselling Detel D1 this Republic Day, which will be available for Rs 399.']","['At a time when the fight for telecom consumers has shifted towards feature phone users, a little known local company is selling mobile phones starting at Rs 299 to the masses. Detel, which entered the feature phone market in 2016, claims to have sold around 600,000 devices across price points so far.Run by Yogesh Bhatia, who used to be a distributor of mobile phones,Detelis aiming to connect those who could not afford a phone but dream about owning a phone. ?With a vision of connecting the 400 million people, we took the initiative to bring such phones to the people who could not afford a phone?our first productDetelD1 hit the market in 2017 with the tagline- ?Lo Kar Lo Baat? for Rs 299 and it has seen a tremendous response,? Bhatia told Business Standard.However, this is not the first time that a company has come out with a mobile phone for dirt cheap. How can one forget the euphoria around Freedom 251, which was touted as the world?s cheapest smartphone in 2016? Many believed it was impossible to sell a smartphone for Rs 251 and the belief indeed turned out to be true as the company Ringing Bells failed to deliver the devices after getting orders for millions of phones through online bookings. The company only provided a few thousand devices to consumers.However, Bhatia feels that theFreedom 251was possibly the most-hyped product in recent years and it turned out to be a disappointment as the company failed to deliver its promise. ?We are here to change the perception?We are trying to bring communication services in the most cost-effective manner, with a clear target to address the untapped section, who still feels that owning a phone is a luxury,? he added.Asked if the company is able to make money by selling a phone for Rs 299, Bhatia said they are at a break-even situation for the product but the company makes reasonable margins on other products. The price range of otherDetelmobile phones is Rs 349 to Rs 899. The company recently tied up with BSNL for voice and data offers with its feature-phones.', 'As part of the deal, aDetelD1 mobile along with a BSNL connection can be bought for Rs 499, which comes with a validity of 365 days and a talk time of Rs 103. The company is exploring such partnerships with other mobile operators.']",/article/companies/little-known-detel-is-connecting-the-masses-with-the-rs-299-phone-118013100187_1.html
businessStandards,['Companies'],1/31/2018 9:46,"['Pooja Thakur Mahrotri', 'Upmanyu Trivedi', 'Dhwani Pandya | Bloomberg']","[""How India's phantom flats are leaving home buyers' dreams in tatters""]","['Real Estate', 'Homebuyers', 'Flat Sale', 'Infrastructure', 'Unitech', 'Jaypee', 'Amrapali', 'Noida', 'Delhi', 'Real Estate Sector', 'Construction Sector', 'Companies', 'Industry']","['As real-estate sales slumped and the once red-hot market cooled, businesses unraveled -- leaving them grappling with debt']","['Amit Khulve, a 34-year-old resident of the north Indian city of Noida, is still paying off the mortgage on an apartment he?s never lived in.The sales executive says he borrowed about 500,000 rupees ($8,000) in 2012 and pulled another 1 million rupees from his savings to reserve a flat in a building planned by the property developerUnitechLtd. Six years on, the project hasn?t been built, and he?s among hundreds fighting to recover their investments. Unitech?s founders have been jailed on charges of cheating, which they deny. India?s Supreme Court in the coming months will review ways to protect the company?shomebuyersand consider the founders? request for bail.Across the metropolitan area that surrounds New Delhi, a string of real-estate developers including Unitech,JaypeeInfratech Ltd. andAmrapaliGroup have been dragged to court by irate homeowners who shelled out payments for apartments that have yet to be completed. Many of these firms took money from a stream of buyers. As sales slumped and the once red-hot market cooled, their businesses unraveled -- leaving them grappling with debt.The fallouts from the shakeup in the $126 billion property market are reverberating across companies, markets and the broader economy. Unitech, once India?s largest developer, has plunged to a fraction of its previous valuation.Jaypeeis in insolvency court. State-owned banks -- the lifeblood of the economy -- are grappling with a pile up of bad loans from theindustry.Indian families, who have long poured their life savings into real estate, are now pulling back.?Even projects that are compliant with the new rules are unable to find takers,? said Ramakant Rai, a partner at Trilegal, a law firm representing some of the buyers suing developers. ?Erosion of trust in the builder community appears to be a primary driver for the meltdown in the real-estate sector in India.?Home sales have plunged to a seven-year low and prices in some of India?s biggest cities are tumbling, in stark contrast to booming property markets elsewhere in Asia.National CapitalThe homebuilders deny any wrongdoing in court filings and statements, and contend constructions were postponed for reasons beyond their control.Even so, the industry?s troubles have significantly impacted the economy. That?s becausereal estateand construction are a substantial portion of GDP and major sources of employment, according to Samantak Das, Mumbai-based chief economist at the consultancy Knight Frank LLP. ?Real estateis no more the sought after investment avenue,"" Das said.Homebuyersin India have been particularly vulnerable because they?ve historically had few laws to protect them. Families have faced the most delays around the National Capital Region, or the cluster of cities around NewDelhi.Firms there ended up highly leveraged after accumulating too much land and borrowing at very high costs, according to Ashutosh Limaye, India head of research at the real-estate services firm Jones Lang LaSalle Inc.Indian real-estate businesses expanded as long as firm were able to draw new buyers for planned projects. But as the economy slowed and demand softened, many firms were left short of cash and struggling to manage their debt. The downturn only worsened last year after the government tightened regulations to protecthomebuyersand separately introduced a new services tax across all industries. India?s residential sector appears to have shrunk to a fraction of its size in less than a decade, according to Shishir Baijal, managing director of Knight Frank India.Prices dropped 3 percent on average across the top six cities, according to Knight Frank, with some declining as much as 15 percent after accounting for developer discounts.', 'And in the capital region, last year?s prices were 9 percent below their 2015 peak. The outlook remains bleak.']",/article/companies/india-s-failing-real-estate-sector-leaves-homebuyers-dreams-in-tatters-118013100163_1.html
businessStandards,['Companies'],1/31/2018 9:22,['Reuters'],"['Boost for leisure travel as Indian carriers start low-cost, long-haul ops']","['Spicejet', 'Aviation', 'Indigo', 'Vistara', 'Capa', 'Indian Films', 'Gold Mining', 'Private Equity', 'Commercial Aircraft Manufacturing', 'Travel Agents', 'Aerospace & Defense - Nec', 'Airlines - Nec', 'Regional Airlines', 'Leisure & Recreation - Nec', 'Aditi Shah', 'Spicejet Ltd', 'Boeing Co', 'Air India', 'Interglobe Aviation Ltd', 'Indians', 'Sri Lanka', 'Thailand', 'Kapil Kaul', 'Ceo', 'Chairman', 'United States', 'Lufthansa', 'Airbus', 'Europe', 'Tata Group', 'Canada', 'Australia', 'Jet Airways', 'Expedia Inc', 'Manila', 'Singapore Airlines', 'Ajay Singh', 'Air Travel', 'Emirates', 'Airasia India', 'New York', 'South Korea', 'Aviation Consultant', 'Hanoi', 'India', 'Online Travel Agent', 'Sydney', 'Indian', 'Outbound Leisure Travel', 'Indian Airlines', 'Capa India', 'Companies', 'News']","['Tourism spending by Indians could rise to as much as $40 billion by 2027 from about $16.4 billion in 2016, CAPA said, ranking it sixth in the world ahead of Canada, South Korea and Australia.']","['', 'The launch of low-cost, long-haul flights byIndianairlines will boostoutbound leisure traveland open a multi-billion dollar opportunity for carriers, a report released on Wednesday showed.', 'The analysis byaviationconsultantCAPAIndiaandonline travel agentExpedia Inccomes as large budget airlinesIndiGoandSpiceJetLtd draw up plans to fly as far asEuropeand theUnited States.', 'The carriers have so far focused on shorter-range destinations such asSri LankaandThailand.', ""Only 0.3 percent ofIndianscurrently travel abroad for a holiday every year, a fraction of the estimated 100 million who could potentially afford to do so, CAPA's analysis of household income shows."", 'MostIndianstravel for education, business or to visit friends and relatives.', 'Tourism spending byIndianscould rise to as much as $40 billion by 2027 from about $16.4 billion in 2016,CAPAsaid, ranking it sixth in the world ahead of Canada,South KoreaandAustralia.', '""If there is any market where low-cost, long-haul can work it is India,""CAPAIndiaCEOKapil Kaulsaid at anaviationconference in Mumbai on Tuesday, citing its geographic location and a large order pipeline for new long-range narrowbody jets.', 'SpiceJetChairmanAjay Singhsaid on Tuesday low-cost long-haul flights will be introduced as early as this winter.', 'IndiGois exploring long-haul operations and seeking rights to routes, parent InterGlobeAviationLtd told analysts last week.', 'The low-cost flights would compete against full-serviceIndiancarriersAirIndiaandJet Airwaysas well as global rivals such asEmiratesandLufthansa.', 'BUDGET GROWTH', 'Low-cost carriers, launched in the early 2000s, already dominate domesticair travelwith a two-thirds market share.', 'The share of budget airlines in the international market rose to about 23 percent in the fiscal year 2016/17 from 14.5 percent five years earlier,CAPAestimates.', 'That is expected to rise asIndianairlines have placed orders for nearly 800 re-engined aircraft, such asAirbusA320neos andBoeing Co737 MAX narrowbodies.', 'The jets, with longer ranges than predecessors, will enable low-cost carriers to launch non-stop routes to Asian destinations such as Phuket, Manila, Hong Kong, andHanoithat are otherwise unviable today.', 'By 2025,Indianbudget carriers will operate close to 40 wide-bodied aircraft, which could deliver an additional 2 million annual outbound leisure travellers to places such asNew Yorkand Sydney,CAPAsaid.', ""Low-cost carriersAirAsiaIndiaand Vistara, a full-service joint venture betweenSingapore Airlinesand India's Tata Group, are expected to launch their first international flights later this year."", '', '', '(Only the headline and picture of this report may have been reworked by the Business Standard staff; the rest of the content is auto-generated from a syndicated feed.)']",/article/companies/boost-for-leisure-travel-as-indian-carriers-start-low-cost-long-haul-ops-118013100112_1.html
businessStandards,['Companies'],1/31/2018 8:26,['IANS'],"['Auto Expo 2018: 24 launches, 100 unveilings lined up for the 14th edition']","['Auto Expo', 'Motor Show 2018', 'Automobile Industry', 'Noida', 'India Expo Mart', 'Siam', 'Confederation Of Indian Industry', 'Acma', 'Auto Expo 2018', 'Companies', 'News']",['There are 12 start-ups this year as compared to only two last year'],"['', 'The upcoming 14th edition of the ""Auto Expo-- The Motor Show"" 2018 will offer visitors a chance to witness 24 launches and unveiling of around 100 vehicles.', '""There are a 100 exhibitors which is up from 88 (exhibitors) in the previous version.', 'A 100 exhibitors is a very large number... who are taking part in this auto expo,"" saidSIAMPresident Abhay Firodia.', '""Interestingly, there are 12 start-ups last time there were only two.""', 'The ""Auto Expo-- The Motor Show 2018"" is being jointly organised by the Automotive Component Manufacturers Association of India (ACMA), theConfederation of Indian Industry(CII) and the Society of Indian Automobile Manufacturers (SIAM).', 'According to the organisers, the show has been accredited by the International Organization of Motor Vehicle Manufacturers (OICA) and is being held from February 9-14, 2018 at the India Expo Mart, GreaterNoida.']",/article/companies/auto-expo-2018-24-launches-100-unveilings-lined-up-for-the-14th-edition-118013001312_1.html
businessStandards,['Companies'],1/31/2018 7:18,['Reuters'],"[""Airtel sees little value in acquiring Nigeria's 9mobile, pulls out of bid""]","['Airtel Nigeria', '9mobile', 'Airtel 9mobile Acquisition', '9mobile Bid', 'Bharti Airtel', 'Globacom', 'Africa Telecom', 'Telecom Sector']","[""Airtel had expressed an interest to acquire the Nigerian firm as part of plans to consolidate its position in Africa's biggest telecoms market""]","['', ""India's largest telecoms operator,Bharti Airteldoes not see much value in buying debt-laden Nigerian rival9mobileand withdrew from submitting a firm bid before the deadline, two industry sources with knowledge of the deal told Reuters."", ""Barclays Africa is examining takeover bids from prospective buyers for9mobile.However, a deal may take a few months as it will involve restructuring 9mobile's debt after a default last year."", ""Airtel had expressed an interest to acquire the Nigerian firm as part of plans to consolidate its position in Africa's biggest telecoms market, but it declined to submit a financial bid before a Jan. 16 deadline."", '""Airtel is not interested in9mobilebecause it sees little value in the company,"" one source said.', 'Another source said the Indian company did not have sufficient information to make an informed bid but added that privately-held Nigerian telecoms firmGlobacomhad submitted a financial bid.', 'No-one atBharti Airtelin Nigeria or India was immediately available to comment.', 'Bharti Airtel, headed by Indian billionaire Sunil Mittal, last year reported a 30.8 percent fall in first-quarter net profit, blaming an adverse foreign exchange impact in Nigeria.', 'Previously known as Etisalat Nigeria,9mobiletook out a $1.2 billion syndicated loan from a group of 13 local banks in 2013 but struggled to make repayments last year, forcing its lenders to step in.', 'The central bank then intervened to stop creditors from putting it into receivership, leading to a change in its board and management, as well as its new company name.', 'The crisis forced parent company Etisalat to terminate its management agreement with the Nigerian business and surrender its 45 percent stake to a trustee after the central bank intervention.', ""Since the debt problems came to light, 9mobile, the country's fourth-biggest operator, has rapidly lost subscribers. In October its users numbered 17.1 million, giving it a 12.2 percent market share, down from 20 million earlier last year, Nigerian telecoms regulator said."", ""South Africa's MTN, the market leader, has a 36.1 percent share of the market in Nigeria."", '']",/article/companies/airtel-sees-little-value-in-acquiring-nigeria-s-9mobile-pulls-out-of-bid-118013100019_1.html
businessStandards,['Companies'],1/31/2018 6:25,['Reuters'],['Walmart in advanced talks to buy minority stake in Flipkart: Report'],"['Walmart India Investment', 'Flipkart Stake Sale', 'Foreign Investment', 'Amazon', 'Walmart Flipkart Deal', 'Companies', 'News']","['A deal could be finalised as early as March and may involve primary and secondary sales by longstanding Flipkart investors, the report said']","['', '', 'US retailer Wal-Mart Stores Inc is in advanced talks to buy a minority stake in Indian e-commerce firm Flipkart, Indian financial daily the Economic Times reported on Tuesday.', ""Walmart could buy a 15 percent to 20 percent stake inAmazon.com Inc's main competitor in India, the newspaper said, citing two anonymous sources."", 'A deal could be finalised as early as March and may involve primary and secondary sales by longstanding Flipkart investors, the paper added.', '""We don\'t comment on rumours and speculation,"" Walmart spokesman Randy Hargrove told Reuters via email.', 'Bengaluru-based Flipkart was not immediately available for comment outside regular business hours.', 'Thenewscomes nearly two years after Reuters reported that Walmart was looking to invest between $750 million and $1 billion in Flipkart.', '']",/article/companies/walmart-in-advanced-talks-to-buy-minority-stake-in-flipkart-report-118013100062_1.html
businessStandards,['Economy & Policy'],1/31/2018 11:22,['T E Narasimhan'],"[""World Bank to lend $100 million to boost Tamil Nadu's rural economy""]","['Tamil Nadu', 'Tamil Nadu Economy', 'Work Bank', 'World Bank Aid To Tamil Nadu', 'Innovations In India', 'Tamil Nadu Rural Transformation', 'Indian Economy', 'Economy & Policy', 'News']",['A new platform will  celebrate innovative solutions of rural entrepreneurs'],"['The government and the World Bank on Wednesday signed a $100 million loan agreement to support producer organisations and enterprises, especially women entrepreneurs inTamil Nadu.This is expected to promote rural enterprises, facilitate their access to finance, and create employment opportunities for youth, particularly women, in selected blocks ofTamil Naduacross 26 districts, directly benefitting over 400,000 people.TheTamil NaduRural Transformation Project will create an enabling environment for producer organisations and enterprises to promote businesses across select value chains. Based on the analysis, communities will identify commodities and subsectors in the value chain for preparing business plans. 30 percent of the financing for these business plans will be through a matching grant programme from the project and the remaining 70 per cent will be leveraged from other financial institutions.Sameer Kumar Khare, Joint Secretary, Department of Economic Affairs, Ministry of Finance said the project will enable producer organizations and enterprises inTamil Nadubuild businesses that will help them access finance, markets and networks and generate employment.It will also specifically support eligible households from socially and culturally disadvantaged groups harness their existing assets, skills, and resources; break their entry barriers to value-added economic activities; enhance their ability to access finance, markets, technology, and related support services; help them graduate to value-added economic activities with higher returns such as garment manufacturing and food processing units, eco-tourism ventures, and businesses around creative industries.Junaid Ahmad, World Bank Country Director for India said that World Bank-financed State Livelihood Projects, which have so far reached over 35 million people, have given the rural poor a greater sense of identity, and better services and livelihood opportunities. He said this project will build on those achievements.The project will be operational in 120 blocks across 3,994 villages in 26 Districts ofTamil Naduwith 411,620 direct beneficiaries.', 'It will work with targeted households that are already part of Self-Help Groups (SHGs).']",/article/economy-policy/world-bank-to-lend-100-million-to-boost-tamil-nadu-s-rural-economy-118013100264_1.html
